Embedding Size,RNN Neurons,MaxFeatures,Test Accuracy,Test Loss
32,32,20000,0.8672800064086914,0.32536959648132324
16,16,20000,0.8639199733734131,0.3319905400276184
8,16,20000,0.8623999953269958,0.33002057671546936
8,64,20000,0.8506399989128113,0.38434141874313354
32,16,50000,0.8471999764442444,0.36702460050582886
64,32,50000,0.8468000292778015,0.41365745663642883
64,16,50000,0.8447999954223633,0.36685484647750854
64,16,20000,0.8441600203514099,0.3756265640258789
16,16,50000,0.8408799767494202,0.3972115218639374
16,32,20000,0.8378400206565857,0.3707062900066376
8,64,50000,0.8368800282478333,0.4085625112056732
64,32,20000,0.830560028553009,0.3970162570476532
64,64,50000,0.8245599865913391,0.4122554659843445
8,32,50000,0.8171200156211853,0.42605817317962646
32,32,50000,0.8150399923324585,0.4999999701976776
16,64,50000,0.8147199749946594,0.43817153573036194
64,64,20000,0.8105599880218506,0.4310533106327057
16,32,50000,0.8097599744796753,0.4582539498806
32,64,20000,0.8088799715042114,0.4535725712776184
16,64,20000,0.7940800189971924,0.4756179749965668
8,16,50000,0.7907999753952026,0.49193620681762695
32,64,50000,0.7904800176620483,0.4748591482639313
32,16,20000,0.775600016117096,0.5099920034408569
8,32,20000,0.7703199982643127,0.5081567764282227
